,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
3477997,3479704,UNITED STATES OF AMERICA,USN,1973-01-10,1775372,SEADAB,A-7,TONKIN GULF,15.580277,108.153055,,12,205.0,,,0,A7,A7,,,CD O,40,3.0,AIR INTERDICTION,9814,2,,D,774CTG,,,SOUTH VIETNAM,,153449N1080911E,DDMMSSN DDDMMSSE,,UNIT: 774CTG - CALLSIGN: CD O,ZB,28263770,KINETIC,-1,-1,,,,205.0,63720
3568565,3570514,UNITED STATES OF AMERICA,USAF,1972-12-17,898831,SEADAB,AC-130,UBON AB,10.800277,106.841388,TROOPS IN CONTACT,0,1604.0,,,0,AC130,AC130,,,SPECTR18,33,4.0,ARMED RECCE,5216,1,,N,8TFW,,,SOUTH VIETNAM,,104801N1065029E,DDMMSSN DDDMMSSE,,UNIT: 8TFW - CALLSIGN: SPECTR18,YS,27387230,KINETIC,-1,-1,,,TARGET,1604.0,0
1482527,1483635,UNITED STATES OF AMERICA,USMC,1967-04-04,2855259,CACTA6669,A-4,CHU LAI,14.82990669,108.84360490000002,UNKNOWN\UNIDENTIFIED,10,1700.0,250LB MK-81,,260,A4E,A4,,,,9,06,DIRECT AIR SUPPORT,ME011,1,IN COUNTRY,N,M01223,IN CLOUDS,PREBRIEFED TGT,SOUTH VIETNAM,,49PBS683405,##ABC111222,9999,MISSION: VS040485 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BS,25476039,KINETIC,0,0,,,,1720.0,-1
3940727,3943595,UNITED STATES OF AMERICA,USAF,1973-04-04,971505,SEADAB,AC-130,UBON AB,,,,0,1255.0,,,0,AC130,AC130,,,SPECTRE3,42,4.0,ARMED RECCE,6522,1,,N,8TFW,,,CAMBODIA,,,,,UNIT: 8TFW - CALLSIGN: SPECTRE3,,27459904,KINETIC,-1,-1,,,,1255.0,0
2370233,2371277,UNITED STATES OF AMERICA,USMC,1968-08-10,1445368,CACTA6669,A-4,CHU LAI,15.89178422,108.0186779,TROOPS,2,1445.0,500LB GP MK-82,,500,A4E,A4,,,,11,1.0,STRIKE,ME384,1,IN COUNTRY,N,M01311,CLEAR,TPQ-10,SOUTH VIETNAM,,49PAT81105910,##ABC11112222,0606,MISSION: VS0860559 - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BU,24499093,KINETIC,0,0,,,,1448.0,-1
1904903,1905992,UNITED STATES OF AMERICA,USMC,1967-02-12,2329250,CACTA6669,F-4,CHU LAI,15.8441747,108.242379,UNKNOWN\UNIDENTIFIED,0,10.0,MK-11/MK-12,,57,F4B,F4,,,,14,68.0,HELO ESCORT,ME011,2,IN COUNTRY,D,M01323,BROKEN,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBT050535,##ABC111222,0202HH,MISSION: VS0212175 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BU,25154788,NONKINETIC,1,500,,,,25.0,-1
1981489,1982573,UNITED STATES OF AMERICA,USAF,1967-06-01,1901557,CACTA6669,F-105,VTBI,,,UNKNOWN\UNIDENTIFIED,0,1315.0,SHRIKE,,395,F105F,F105,,,,30,1.0,STRIKE,JI023,1,ROLLING THUN - ROLLING THUND,N,JAJIX0,OVERCAST,PREBRIEFED TGT,NORTH VIETNAM,,,,,MISSION: RT56C28 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: UNKNOWN,,24858303,KINETIC,0,1,,,,1341.0,-1
4025660,4028712,UNITED STATES OF AMERICA,USAF,1971-11-01,209281,SEADAB,O-2,PHAN RANG,,,,0,800.0,,,0,O2B,O2,,,,0,74.0,EXTRACTION (GPES),0905,1,,D,9SOS,,,SOUTH VIETNAM,,,,,UNIT: 9SOS - CALLSIGN:,,26697680,NONKINETIC,-1,-1,,,,800.0,0
3248165,3249314,UNITED STATES OF AMERICA,USAF,1971-10-19,1136566,SEADAB,F-105,KORAT,,,,1,446.0,AGM-72 STD AR MISSLE,,1350,F105,F105,,,JUNIOR,57,35.0,ESCORT/COVER,8904,2,,D,388TFW,,,NORTH VIETNAM,,,,,UNIT: 388TFW - CALLSIGN: JUNIOR,,27624965,NONKINETIC,-1,-1,,,,446.0,13670
758499,759607,UNITED STATES OF AMERICA,USAF,1968-03-24,4619614,CACTA6669,AC-47,NAH TRANG,12.19056008,109.156657,AREA\DEPOT,105,2120.0,7.62MM,,6,AC47D,AC47,,,,60,3.0,AIR INTERDICTION,JK004,1,IN COUNTRY - SPOOKY&42,N,JALDA0,,GRND FWD AIR CNTL,SOUTH VIETNAM,,49PBP998482,##ABC111222,0406CM,MISSION: VS03&9672 - CONTROL_TYPE: GRND FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),BQ,26255931,KINETIC,0,105,,,,2145.0,-1
