,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
3696184,3698404,VIETNAM (SOUTH),VNAF,1971-03-26,1466450,SEADAB,A-37,BINH THUY,10.7975,106.0475,,4,30.0,,,0,A37,A37,,,SATAN 11,19,5.0,CLOSE AIR SUPPORT,E881,2,,D,526FS,,,SOUTH VIETNAM,,104751N1060251E,DDMMSSN DDDMMSSE,,UNIT: 526FS - CALLSIGN: SATAN 11,XS,27954849,KINETIC,-1,-1,,,,30.0,21240
1033991,1035099,VIETNAM (SOUTH),VNAF,1967-05-17,3409792,CACTA6669,A-1,BIEN HOA,10.88103701,106.22321200000002,TROOPS,0,504.0,,,0,A1H,A1,,,,41,6.0,DIRECT AIR SUPPORT,VW009,2,IN COUNTRY - SOUTH VIETNAM,D,V50010,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXT340030,##ABC111222,0309N,MISSION: VS3436 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XS,25768591,KINETIC,0,50,,,,523.0,-1
3686685,3688884,VIETNAM (SOUTH),VNAF,1971-02-01,1431428,SEADAB,A-1,TAN SON NHUT,10.881666,106.043333,,16,400.0,,,0,A1,A1,,,PHOENIXB,28,5.0,CLOSE AIR SUPPORT,D274,2,,D,514FS,,,CAMBODIA,,105254N1060236E,DDMMSSN DDDMMSSE,,UNIT: 514FS - CALLSIGN: PHOENIXB,XS,27919827,KINETIC,-1,-1,,,,400.0,84960
4110305,4113568,VIETNAM (SOUTH),VNAF,1970-07-30,653812,SEADAB,AC-47,TAN SON NHUT,,,,0,1430.0,,,0,AC47,AC47,,,H LONG 5,12,54.0,AIRBORNE ALERT,A105,1,,N,817CS,,,,,,,,UNIT: 817CS - CALLSIGN: H LONG 5,,27142211,NONKINETIC,-1,-1,,,,1430.0,0
2167521,2168583,VIETNAM (SOUTH),VNAF,1966-10-19,1656838,CACTA6669,A-1,BINH THUY,9.85665989,105.3627963,BUILDINGS,6,412.0,200/260 M81/88,,263,A1H,A1,,,,70,03,AIR INTERDICTION,VB004,4,IN COUNTRY - JELLYFISH,D,V50040,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PWR401895,##ABC111222,9999N,MISSION: VS4055 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WS,24671570,KINETIC,0,0,,,,423.0,-1
48227,48353,VIETNAM (SOUTH),VNAF,1971-11-26,1375304,SEADAB,UH-1,BINH THUY,,,,6,800.0,BATTLEFIELD CASUALTYS,,0,UH1,UH1,,,14,70,65.0,CASUALTY EVACUATION,0773,14,,D,217HS,,,SOUTH VIETNAM,,,,,UNIT: 217HS - CALLSIGN:       14,,27863703,NONKINETIC,-1,-1,,,,800.0,0
3246521,3247668,VIETNAM (SOUTH),VNAF,1970-04-11,1122744,SEADAB,A-37,BINH THUY,10.090555,105.983055,,0,1130.0,,,0,A37,A37,,,PANTHR51,12,5.0,CLOSE AIR SUPPORT,E324,2,,D,520FS,,,SOUTH VIETNAM,,100526N1055859E,DDMMSSN DDDMMSSE,,UNIT: 520FS - CALLSIGN: PANTHR51,XS,27611143,KINETIC,-1,-1,,,,1130.0,0
2390238,2391274,VIETNAM (SOUTH),VNAF,1968-12-16,1469141,CACTA6669,F-5,BIEN HOA,10.36495379,105.8594281,TROOPS,8,250.0,M-3,,50,F5C,F5,,,,27,3.0,AIR INTERDICTION,VW014,2,IN COUNTRY - SOUTH VIETNAM,D,V50100,OVERCAST,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PWS94404580,##ABC11112222,0309C,MISSION: VS12-4036 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WS,24519122,KINETIC,0,0,,,,256.0,-1
25398,25463,VIETNAM (SOUTH),VNAF,1971-09-13,1261341,SEADAB,C-47,TAN SON NHUT,,,,0,800.0,,,0,C47,C47,,,,20,97.0,OTHER,0713,1,,D,415TS,,,SOUTH VIETNAM,,,,,UNIT: 415TS - CALLSIGN:,,27749740,NONKINETIC,-1,-1,,,,800.0,0
90910,91155,VIETNAM (SOUTH),VNAF,1972-03-19,1596644,SEADAB,UH-1,BINH THUY,,,,150,800.0,PASSENGERS,,0,UH1,UH1,,,99,400,46.0,COMBT TROOP CARRYING,0745,99,,D,227HS,,,SOUTH VIETNAM,,,,,UNIT: 227HS - CALLSIGN:       99,,28085043,NONKINETIC,-1,-1,,,,800.0,0
3309348,3310645,VIETNAM (SOUTH),VNAF,1974-03-09,1572530,SEADAB,UH-1,BIEN HOA,,,,47,800.0,PASSENGERS,,0,UH1,UH1,,,,95,47.0,COMBT CARGO CARRYING,0840,1,,D,223HS,,,SOUTH VIETNAM,,,,,UNIT: 223HS - CALLSIGN:,,28060929,NONKINETIC,-1,-1,,,,800.0,0
3849517,3852136,VIETNAM (SOUTH),VNAF,1970-05-23,501028,SEADAB,A-1,TAN SON NHUT,11.923611,105.1425,,0,200.0,,,0,A1,A1,,,PHOENIXA,62,5.0,CLOSE AIR SUPPORT,D908,3,,D,514FS,,,SOUTH VIETNAM,,115525N1050833E,DDMMSSN DDDMMSSE,,UNIT: 514FS - CALLSIGN: PHOENIXA,WT,26989427,KINETIC,-1,-1,,,DAMAGED,200.0,0
3531927,3533781,VIETNAM (SOUTH),VNAF,1972-07-05,486434,SEADAB,C-7,PHU CAT,,,,0,800.0,,,0,C7,C7,,,,32,52.0,TRAINING,0884,2,,D,429TS,,,SOUTH VIETNAM,,,,,UNIT: 429TS - CALLSIGN:,,26974833,NONKINETIC,-1,-1,,,,800.0,0
4215924,4219429,VIETNAM (SOUTH),VNAF,1972-01-17,1198885,SEADAB,A-1,PLEIKU,14.124166,108.966388,,0,600.0,,,0,A1,A1,,,JUPITR61,45,5.0,CLOSE AIR SUPPORT,C263,2,,D,530FS,,,SOUTH VIETNAM,,140727N1085759E,DDMMSSN DDDMMSSE,,UNIT: 530FS - CALLSIGN: JUPITR61,BR,27687284,KINETIC,-1,-1,,,,600.0,0
2097367,2098444,VIETNAM (SOUTH),VNAF,1966-03-22,2066030,CACTA6669,A-1,BINH THUY,10.78210976,106.0764634,UNKNOWN\UNIDENTIFIED,0,600.0,,,0,A1,A1,,,,80,10.0,DEF CMBT AIR PATROL,J0005,3,IN COUNTRY,D,V50040,,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PXS180920,##ABC111222,0309N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),XS,24976294,NONKINETIC,0,0,,,,745.0,-1
2031752,2032829,VIETNAM (SOUTH),VNAF,1966-01-27,1970958,CACTA6669,A-1,BIEN HOA,10.39915735,106.7784726,FORD,18,440.0,200/260 M81/88,,263,A1,A1,,,,20,03,AIR INTERDICTION,V0002,3,IN COUNTRY,D,V50040,SCATTERED,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PXS950500,##ABC111222,0999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),YS,24908662,KINETIC,0,0,,,,445.0,-1
1408604,1409712,VIETNAM (SOUTH),VNAF,1966-11-24,2727361,CACTA6669,A-1,PLEIKU,14.42064131,108.4044248,TROOPS,4,800.0,500LB GP M-64,,561,A1H,A1,,,,18,6.0,DIRECT AIR SUPPORT,JZ007,2,IN COUNTRY,D,V50105,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBR20509570,##ABC11112222,0407NF,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),ZB,25401947,KINETIC,0,0,,,,820.0,-1
473742,474783,VIETNAM (SOUTH),VNAF,1970-03-13,216517,CACTA6570,A-37,NAH TRANG,12.9367722,108.0418134,BUILDINGS,8,920.0,,,0,A37B,A37,,,,47,3.0,AIR INTERDICTION,VZ007,4,IN COUNTRY - SIPA,D,V50105,SCATTERED,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PAQ79003200,##ABC11112222,9999NU,MISSION: VS2110 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),ZU,26373967,KINETIC,0,0,,,,1000.0,-1
328180,329047,VIETNAM (SOUTH),VNAF,1970-08-18,989189,SEADAB,UH-1,DANANG,,,,0,800.0,,,0,UH1,UH1,,,2,17,53.0,MAINTENANCE,7329,2,,D,213HS,,,SOUTH VIETNAM,,,,,UNIT: 213HS - CALLSIGN:        2,,27477588,NONKINETIC,-1,-1,,,,800.0,0
3273818,3275027,VIETNAM (SOUTH),VNAF,1970-12-16,1317568,SEADAB,UH-1,NHA TRANG,,,,0,800.0,,,0,UH1,UH1,,,9,60,44.0,ARMED HELICOPTER,7372,9,,D,215HS,,,SOUTH VIETNAM,,,,,UNIT: 215HS - CALLSIGN:        9,,27805967,KINETIC,-1,-1,,,,800.0,0
3136957,3138067,VIETNAM (SOUTH),VNAF,1965-10-15,918418,CACTA6570,A-1,BIEN HOA,10.189589300000002,105.8233469,UNKNOWN\UNIDENTIFIED,0,825.0,,,0,A1,A1,,,,120,3,AIR INTERDICTION,01399,4,IN COUNTRY,D,V50040,BROKEN,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PWS905264,##ABC111222,9999,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WS,23771310,KINETIC,0,0,,,,1025.0,-1
